MDE ID,County,Name,City,11/13/21,11/27/21,12/11/21,12/25/21
0001-01-001,Aitkin,Aitkin Secondary School,Aitkin,5-9,0-4,0-4,0-4
0004-01-040,Aitkin,McGregor Secondary,McGregor,0-4,0-4,10-19,0-4
0001-01-002,Aitkin,Rippleside Elementary,Aitkin,10-19,5-9,0-4,0-4
0011-01-400,Anoka,Adams Elementary,Coon Rapids,5-9,5-9,0-4,0-4
0011-01-426,Anoka,Andover Elementary,Andover,10-19,10-19,0-4,0-4
0011-01-094,Anoka,Andover High School,Andover,10-19,10-19,0-4,0-4
0011-01-001,Anoka,Anoka High School,Anoka,10-19,10-19,5-9,0-4
0011-01-003,Anoka,Anoka Middle School for the Arts,Anoka,10-19,5-9,0-4,0-4
0011-01-091,Anoka,Blaine High School,Blaine,5-9,0-4,5-9,0-4
0012-01-515,Anoka,Blue Heron Elementary,Lino Lakes,10-19,5-9,5-9,0-4
0011-01-432,Anoka,Brookside Elementary,Ramsey,0-4,5-9,0-4,0-4
0015-01-784,Anoka,Cedar Creek Elementary School,Cedar,0-4,5-9,0-4,0-4
0012-01-510,Anoka,Centennial Elementary,Circle Pines,5-9,0-4,0-4,0-4
0012-01-164,Anoka,Centennial High School,Circle Pines,10-19,10-19,10-19,5-9
0012-01-166,Anoka,Centennial Middle,Lino Lakes,20-29,10-19,5-9,0-4
0016-01-776,Anoka,Centerview Elementary,Blaine,0-4,5-9,5-9,0-4
0012-01-511,Anoka,Centerville Elementary,Centerville,5-9,10-19,5-9,0-4
0013-01-017,Anoka,Columbia Academy,Columbia Heights,5-9,0-4,0-4,0-4
0013-01-016,Anoka,Columbia Heights Senior High,Columbia Heights,0-4,5-9,5-9,0-4
0011-01-002,Anoka,Coon Rapids High School,Coon Rapids,10-19,10-19,5-9,0-4
0011-01-004,Anoka,Coon Rapids Middle School,Coon Rapids,10-19,5-9,10-19,0-4
4185-07-010,Anoka,DaVinci Academy,Ham Lake,5-9,0-4,0-4,0-4
0011-01-403,Anoka,Franklin Elementary,Anoka,5-9,0-4,0-4,0-4
0014-01-023,Anoka,Fridley Middle,Fridley,5-9,5-9,5-9,0-4
0014-01-022,Anoka,Fridley Senior High,Fridley,5-9,5-9,0-4,0-4
0012-01-512,Anoka,Golden Lake Elementary,Circle Pines,5-9,0-4,5-9,0-4
0011-01-404,Anoka,Hamilton Elementary,Coon Rapids,5-9,0-4,0-4,0-4
0011-01-406,Anoka,Jefferson Elementary,Blaine,0-4,0-4,5-9,0-4
0011-01-407,Anoka,Johnsville Elementary,Blaine,5-9,0-4,0-4,0-4
0916-06-040,Anoka,Karner Blue Education Center,Blaine,5-9,0-4,0-4,0-4
0831-01-628,Anoka,Lino Lakes Elementary,Lino Lakes,5-9,0-4,0-4,0-4
0011-01-410,Anoka,Madison Elementary,Blaine,5-9,0-4,0-4,0-4
0011-01-411,Anoka,McKinley Elementary,Ham Lake,5-9,10-19,0-4,0-4
