MDE ID,County,Name,City,12/25/21,01/08/22,01/22/22,02/05/22
0011-01-400,Anoka,Adams Elementary,Coon Rapids,0-4,5-9,5-9,0-4
0014-31-006,Anoka,Al-Amal School,Fridley,0-4,0-4,5-9,0-4
0011-01-094,Anoka,Andover High School,Andover,0-4,0-4,5-9,0-4
0011-01-001,Anoka,Anoka High School,Anoka,0-4,5-9,5-9,0-4
0011-01-003,Anoka,Anoka Middle School for the Arts,Anoka,5-9,0-4,10-19,0-4
0016-31-004,Anoka,Avail Academy (Blaine K-8 Campus),Blaine,0-4,5-9,0-4,0-4
0011-01-091,Anoka,Blaine High School,Blaine,5-9,5-9,10-19,0-4
0012-01-515,Anoka,Blue Heron Elementary,Lino Lakes,0-4,0-4,5-9,0-4
0011-01-432,Anoka,Brookside Elementary,Ramsey,0-4,0-4,5-9,0-4
0015-01-784,Anoka,Cedar Creek Elementary School,Cedar,0-4,0-4,5-9,0-4
0012-01-510,Anoka,Centennial Elementary,Circle Pines,0-4,0-4,5-9,0-4
0012-01-164,Anoka,Centennial High School,Circle Pines,5-9,5-9,30-39,0-4
0012-01-166,Anoka,Centennial Middle,Lino Lakes,5-9,5-9,20-29,0-4
0016-01-776,Anoka,Centerview Elementary,Blaine,5-9,0-4,0-4,0-4
0012-01-511,Anoka,Centerville Elementary,Centerville,0-4,0-4,10-19,0-4
0013-01-017,Anoka,Columbia Academy,Columbia Heights,0-4,0-4,5-9,0-4
0013-01-016,Anoka,Columbia Heights Senior High,Columbia Heights,0-4,5-9,0-4,0-4
0011-01-004,Anoka,Coon Rapids Middle School,Coon Rapids,0-4,0-4,5-9,0-4
4185-07-010,Anoka,DaVinci Academy,Ham Lake,5-9,0-4,0-4,0-4
0014-01-023,Anoka,Fridley Middle,Fridley,0-4,0-4,5-9,0-4
0014-01-022,Anoka,Fridley Senior High,Fridley,0-4,10-19,5-9,0-4
0012-01-512,Anoka,Golden Lake Elementary,Circle Pines,0-4,0-4,5-9,0-4
0013-31-001,Anoka,Immaculate Conception,Columbia Heights,0-4,0-4,5-9,0-4
0831-01-628,Anoka,Lino Lakes Elementary,Lino Lakes,0-4,5-9,0-4,0-4
0011-01-090,Anoka,Northdale Middle,Coon Rapids,5-9,5-9,5-9,0-4
0016-01-772,Anoka,Northpoint Elementary,Blaine,0-4,5-9,5-9,0-4
0012-01-513,Anoka,Rice Lake Elementary,Lino Lakes,5-9,0-4,10-19,0-4
0016-01-045,Anoka,Spring Lake Park Senior High,Spring Lake Park,5-9,0-4,0-4,0-4
0015-01-122,Anoka,St. Francis High,Saint Francis,0-4,0-4,10-19,0-4
0015-01-123,Anoka,St. Francis Middle,Saint Francis,0-4,0-4,5-9,0-4
0011-01-431,Anoka,Sunrise Elementary,Blaine,0-4,5-9,0-4,0-4
0014-31-002,Anoka,Totino Grace High School,Fridley,0-4,5-9,10-19,0-4
0016-01-092,Anoka,Westwood Intermediate and Middle School,Blaine,5-9,5-9,5-9,0-4
0023-01-020,Becker,Frazee Secondary,Frazee,0-4,0-4,5-9,0-4
0038-01-010,Beltrami,Red Lake Elementary,Red Lake,0-4,0-4,5-9,0-4
0051-01-010,Benton,Foley Elementary,Foley,5-9,0-4,10-19,0-4
0051-01-030,Benton,Foley Intermediate Elementary,Foley,0-4,0-4,5-9,0-4
0051-01-020,Benton,Foley Senior High,Foley,0-4,0-4,5-9,0-4
0047-01-003,Benton,Mississippi Heights Elementary,Sauk Rapids,5-9,5-9,10-19,0-4
0047-01-007,Benton,Pleasant View Elementary,Sauk Rapids,0-4,5-9,5-9,0-4
0047-01-006,Benton,Rice Elementary,Rice,0-4,0-4,10-19,0-4
