District,School,County,Enrollment,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25
Hibbing Public School District,Hibbing High,Saint Louis,1043,19,38,47,56,75,84,103,107
Proctor Public School District,Proctor Senior High,Saint Louis,568,0,0,4,8,27,46,50,54
Proctor Public School District,A.I. Jedlicka Middle School,Saint Louis,459,0,0,0,4,8,27,31,35
Proctor Public School District,Bay View Elementary,Saint Louis,580,0,0,4,8,17,46,50,54
Proctor Public School District,Pike Lake Elementary,Saint Louis,205,4,13,13,17,21,30,34,38
Duluth Public School District,Merritt Creek Academy,Saint Louis,81,0,0,0,0,0,0,0,0
Duluth Public School District,Denfeld High School,Saint Louis,932,4,13,22,31,35,39,43,43
Duluth Public School District,East High School,Saint Louis,1517,9,13,17,21,40,59,68,72
Duluth Public School District,Lincoln Park Middle School,Saint Louis,604,4,13,13,17,26,35,44,48
Duluth Public School District,Ordean East Middle School,Saint Louis,936,4,13,17,21,30,39,48,52
Duluth Public School District,Congdon Elementary,Saint Louis,506,0,0,0,0,0,0,0,0
Duluth Public School District,Homecroft Elementary,Saint Louis,351,4,13,17,21,30,49,58,62
Duluth Public School District,Lakewood Elementary,Saint Louis,216,0,0,0,0,0,0,0,0
Duluth Public School District,Lester Park Elementary,Saint Louis,546,0,0,0,0,0,0,0,0
Duluth Public School District,Lowell Elementary,Saint Louis,258,4,8,17,21,25,25,25,25
Duluth Public School District,Lowell Elementary Spanish Immersion,Saint Louis,261,0,0,0,4,8,12,21,25
Duluth Public School District,Laura MacArthur Elementary,Saint Louis,311,4,13,22,31,40,49,53,57
Duluth Public School District,Myers-Wilkins Elementary,Saint Louis,326,0,0,0,0,0,0,0,0
Duluth Public School District,Piedmont Elementary,Saint Louis,457,0,0,0,4,13,32,36,40
Duluth Public School District,Stowe Elementary,Saint Louis,258,0,0,0,4,13,17,21,25
Duluth Public School District,Rockridge Academy,Saint Louis,55,0,0,0,0,0,0,0,0
Duluth Public School District,Duluth Area Learning Center,Saint Louis,416,0,0,0,0,0,0,0,0
Duluth Public School District,Academic Excellence Online,Saint Louis,55,0,0,0,0,0,0,0,0
Duluth Public School District,Early Childhood Special Education,Saint Louis,181,0,0,0,0,0,0,0,0
Mountain Iron-Buhl School District,Merritt Elementary,Saint Louis,330,0,0,4,23,27,31,35,35
Mountain Iron-Buhl School District,Mountain Iron-Buhl Secondary,Saint Louis,237,0,0,9,13,17,17,17,17
Belle Plaine Public School District,Chatfield Elementary,Scott,345,0,0,0,4,8,17,26,30
Belle Plaine Public School District,Oak Crest Elementary,Scott,488,0,0,9,13,17,36,55,59
Belle Plaine Public School District,Belle Plaine Senior High,Scott,494,0,0,4,13,22,41,50,54
Belle Plaine Public School District,Belle Plaine Junior High,Scott,241,0,0,0,0,0,0,0,0
Jordan Public School District,Jordan High School,Scott,638,19,28,28,28,32,32,32,32
Jordan Public School District,Jordan Middle,Scott,592,19,23,23,27,31,35,44,48
Jordan Public School District,Jordan Early Childhood,Scott,51,0,0,0,0,0,0,0,0
Jordan Public School District,Jordan Elementary,Scott,588,4,23,32,41,45,54,58,62
Prior Lake-Savage Area Schools,La Ola Del Lago at Grainwood,Scott,388,0,0,4,8,17,26,30,34
Prior Lake-Savage Area Schools,Westwood El.,Scott,587,4,13,17,21,50,54,58,62
Prior Lake-Savage Area Schools,Five Hawks El.,Scott,485,0,0,0,4,13,17,21,25
Prior Lake-Savage Area Schools,Glendale El.,Scott,565,0,0,4,8,17,26,30,34
Prior Lake-Savage Area Schools,Jeffers Pond Elementary,Scott,560,0,0,0,4,23,27,31,35
Prior Lake-Savage Area Schools,Redtail Ridge Elementary School,Scott,557,0,0,0,4,8,17,26,30
Prior Lake-Savage Area Schools,Hamilton Ridge Elementary School,Scott,510,0,0,4,8,37,41,45,49
Prior Lake-Savage Area Schools,Hidden Oaks Middle School,Scott,1104,0,0,4,13,22,41,45,49
Prior Lake-Savage Area Schools,Twin Oaks Middle School,Scott,1066,4,13,17,21,40,49,53,57
Prior Lake-Savage Area Schools,Prior Lake High School,Scott,2832,0,0,9,18,47,76,80,84
Prior Lake-Savage Area Schools,Prior Lake-Savage Area ALC,Scott,109,0,0,0,0,0,0,0,0
Prior Lake-Savage Area Schools,Edgewood ECSE,Scott,129,0,0,0,0,0,0,0,0
Shakopee Public School District,Shakopee High School,Scott,2805,19,38,47,51,70,89,98,102
Shakopee Public School District,Shakopee West Middle School,Scott,962,9,18,22,26,35,39,43,47
Shakopee Public School District,Shakopee East Middle School,Scott,868,4,13,17,21,40,49,53,57
Shakopee Public School District,Tokata Learning Center,Scott,94,0,0,0,0,0,0,0,0
Shakopee Public School District,Sweeney Elementary,Scott,636,0,0,4,8,27,31,40,44
Shakopee Public School District,Sun Path Elementary,Scott,591,0,0,0,0,0,0,0,0
Shakopee Public School District,Red Oak Elementary,Scott,537,0,0,0,4,13,17,21,25
Shakopee Public School District,Eagle Creek Elementary School,Scott,718,0,0,4,8,37,46,50,54
Shakopee Public School District,Jackson Elementary,Scott,750,0,0,4,8,27,46,55,59
Shakopee Public School District,Special Services,Scott,106,0,0,0,0,0,0,0,0
New Prague Area Schools,New Prague Senior High,Scott,1294,29,58,67,86,105,109,113,117
New Prague Area Schools,New Prague Middle School,Scott,962,29,78,97,106,110,114,118,118
New Prague Area Schools,Compass Learning Center,Scott,57,0,0,0,0,0,0,0,0
New Prague Area Schools,Raven Stream Elementary,Scott,619,9,18,22,31,35,39,48,52
New Prague Area Schools,Central Education Campus,Scott,73,0,0,0,0,0,0,0,0
New Prague Area Schools,Eagle View,Scott,550,4,23,32,41,50,59,63,67
New Prague Area Schools,Falcon Ridge,Scott,583,19,38,47,51,60,79,83,87
Becker Public School District,Becker Intermediate Elementary,Sherburne,619,9,28,47,56,65,69,73,77
Becker Public School District,Becker Senior High,Sherburne,874,4,33,42,46,55,59,68,72
Becker Public School District,Becker Middle,Sherburne,657,9,28,32,36,45,49,53,57
Becker Public School District,Becker Primary,Sherburne,678,9,28,47,51,60,69,78,82
Big Lake Public School District,Independence Elementary,Sherburne,635,4,13,17,21,40,49,53,57
Big Lake Public School District,Big Lake Senior High,Sherburne,924,4,13,32,36,45,54,58,62
Big Lake Public School District,Big Lake Middle School,Sherburne,733,4,8,27,31,40,44,48,52
Big Lake Public School District,Liberty Elementary,Sherburne,689,0,0,9,13,22,31,40,44
Elk River School District,Rogers Elementary,Hennepin,692,0,0,4,8,27,56,65,69
Elk River School District,Parker Elementary,Sherburne,523,4,13,22,26,45,54,58,62
Elk River School District,Hassan Elementary,Hennepin,704,0,0,9,13,42,51,70,74
Elk River School District,Twin Lakes Elementary,Sherburne,635,4,13,17,21,30,39,58,62
Elk River School District,Prairie View Elementary School,Wright,645,4,43,62,66,75,84,88,92
Elk River School District,Zimmerman Elementary,Sherburne,513,4,23,32,36,40,44,63,67
Elk River School District,Westwood Elementary,Sherburne,522,9,28,37,41,60,69,78,82
Elk River School District,Lincoln Elementary,Sherburne,514,4,13,17,21,40,49,53,57
Elk River School District,Handke Center - Early Childhood Special Education,Sherburne,267,0,0,0,4,8,17,21,25
Elk River School District,Rogers Middle School,Hennepin,715,0,0,9,13,22,31,40,44
Elk River School District,Zimmerman Middle,Sherburne,565,19,38,47,51,55,55,55,55
Elk River School District,Prairie View Middle School,Wright,526,4,23,32,36,40,40,40,40
Elk River School District,VandenBerge Middle School,Sherburne,536,0,0,9,13,17,21,30,34
Elk River School District,Salk Middle School,Sherburne,718,4,23,27,31,40,49,68,72
Elk River School District,Elk River Senior High,Sherburne,1685,9,18,27,31,50,59,78,82
Elk River School District,Rogers Senior High,Hennepin,1637,4,23,42,46,55,74,83,92
Elk River School District,Zimmerman High School,Sherburne,713,9,48,57,61,65,69,78,82
Elk River School District,Ivan Sand Community High School,Sherburne,108,0,0,0,0,0,0,0,0
Elk River School District,Meadowvale Elementary,Sherburne,538,0,0,4,13,32,41,50,54
Elk River School District,Otsego Elementary,Wright,645,0,0,9,13,17,21,30,39
Holdingford Public School District,Holdingford Elementary,Stearns,554,0,0,4,13,22,31,35,39
Holdingford Public School District,Holdingford Secondary,Stearns,511,0,0,4,13,22,41,45,49
Kimball Public School District,Kimball Elementary,Stearns,288,0,0,0,0,0,0,0,0
Kimball Public School District,Kimball Secondary,Stearns,432,4,23,32,36,40,40,40,40
Melrose Public School District,Melrose Elementary,Stearns,457,4,13,22,26,30,39,43,47
Melrose Public School District,Melrose Middle,Stearns,350,0,0,9,13,17,17,17,17
Melrose Public School District,Melrose Secondary,Stearns,462,9,18,27,31,40,44,48,52
Paynesville Public School District,Paynesville Elementary,Stearns,395,0,0,4,13,17,21,25,25
Paynesville Public School District,Paynesville Middle,Stearns,205,0,0,0,0,0,0,0,0
Paynesville Public School District,Paynesville Area High School,Stearns,298,0,0,4,13,17,21,25,25
St. Cloud Public School District,Special Education Facilities,Stearns,64,0,0,0,0,0,0,0,0
St. Cloud Public School District,Clearview Elementary,Sherburne,379,0,0,9,28,37,41,45,49
St. Cloud Public School District,Kennedy Community School,Stearns,688,9,18,27,36,45,64,73,77
St. Cloud Public School District,Lincoln Elementary,Benton,369,0,0,0,0,0,0,0,0
St. Cloud Public School District,Early Childhood Special Education at Quarryview Education Center,Stearns,190,0,0,4,13,17,21,25,25
St. Cloud Public School District,Madison Elementary,Stearns,673,4,23,32,41,60,79,88,92
St. Cloud Public School District,Discovery Community Elementary,Stearns,551,4,13,13,13,17,21,40,44
St. Cloud Public School District,Talahi Community Elementary,Sherburne,554,0,0,0,0,0,0,0,0
St. Cloud Public School District,Westwood Elementary,Stearns,387,0,0,0,4,13,32,41,45
St. Cloud Public School District,Oak Hill Community Elementary,Stearns,823,4,13,17,26,45,54,58,62
St. Cloud Public School District,North Junior High,Stearns,829,4,13,22,26,35,44,53,57
St. Cloud Public School District,South Junior High,Stearns,910,0,0,4,13,32,51,60,64
St. Cloud Public School District,Apollo Senior High,Stearns,1327,4,23,42,51,60,69,73,77
St. Cloud Public School District,Technical Senior High,Stearns,1541,19,38,57,61,70,89,108,112
St. Cloud Public School District,St. Cloud Area Learning Center,Stearns,233,0,0,0,0,0,0,0,0
Sauk Centre Public School District,Sauk Centre Elementary,Stearns,347,4,23,32,41,45,49,53,53
Sauk Centre Public School District,Sauk Centre Secondary,Stearns,531,9,38,42,46,55,59,63,67
Sauk Centre Public School District,Sauk Centre Middle,Stearns,150,4,33,37,46,50,59,63,67
Albany Public School District,Albany Elementary,Stearns,486,4,13,32,36,40,40,40,40
Albany Public School District,Avon Elementary,Stearns,331,9,38,42,46,55,64,68,68
Albany Public School District,Albany Area Middle School,Stearns,450,4,33,52,56,60,60,60,60
Albany Public School District,Albany Area High School,Stearns,519,4,23,42,46,55,64,68,72
Sartell-St. Stephen School District,Sartell Senior High,Stearns,1372,4,13,13,17,26,45,49,53
Sartell-St. Stephen School District,Pine Meadow Primary School,Stearns,614,9,18,18,22,31,35,39,43
Sartell-St. Stephen School District,Sartell Middle,Stearns,982,9,28,37,41,50,59,63,67
Sartell-St. Stephen School District,Oak Ridge Early Learning Center,Stearns,295,0,0,0,0,0,0,0,0
Sartell-St. Stephen School District,Riverview Intermediate School,Stearns,896,9,18,37,41,50,69,73,77
Rocori Public School District,Richmond Elementary,Stearns,127,0,0,0,0,0,0,0,0
Rocori Public School District,Rockville Elementary,Stearns,132,0,0,0,0,0,0,0,0
Rocori Public School District,Cold Spring Elementary,Stearns,578,0,0,9,18,27,36,40,44
Rocori Public School District,Rocori Senior High,Stearns,850,9,13,13,13,13,13,13,13
Rocori Public School District,Rocori Middle,Stearns,589,0,0,0,0,0,0,0,0
Blooming Prairie Public School Dist,Blooming Prairie Elementary,Steele,421,9,28,32,36,55,59,63,67
Blooming Prairie Public School Dist,Blooming Prairie Secondary,Steele,375,4,8,27,36,40,44,48,48
Owatonna Public School District,Owatonna Senior High,Steele,1522,19,38,57,76,95,114,133,137
Owatonna Public School District,Owatonna Middle School,Steele,1098,29,58,67,76,85,104,108,112
Owatonna Public School District,Owatonna ALC 9-12,Steele,93,0,0,0,0,0,0,0,0
Owatonna Public School District,Lincoln Elementary,Steele,550,0,0,4,8,27,31,35,39
Owatonna Public School District,McKinley Elementary,Steele,526,4,13,22,26,30,39,43,47
Owatonna Public School District,Owatonna ECSE,Steele,79,0,0,0,0,0,0,0,0
Owatonna Public School District,Washington Elementary,Steele,504,9,13,22,31,35,44,48,52
Owatonna Public School District,Wilson Elementary,Steele,451,0,0,0,0,0,0,0,0
Owatonna Public School District,Owatonna School Readiness,Steele,108,0,0,0,0,0,0,0,0
Medford Public School District,Medford Elementary,Steele,475,0,0,0,0,0,0,0,0
Medford Public School District,Medford Secondary,Steele,419,0,0,0,0,0,0,0,0
Hancock Public School District,Hancock Elementary,Stevens,220,0,0,0,0,0,0,0,0
Hancock Public School District,Hancock Sec.,Stevens,191,0,0,0,0,0,0,0,0
Chokio-Alberta Public School Dist.,Chokio-Alberta Secondary,Stevens,93,0,0,0,0,0,0,0,0
Chokio-Alberta Public School Dist.,Chokio-Alberta Elementary,Stevens,63,0,0,0,0,0,0,0,0
Kerkhoven-Murdock-Sunburg,Murdock Elementary,Swift,395,4,23,32,36,40,40,40,40
Kerkhoven-Murdock-Sunburg,Kerkhoven Secondary,Swift,347,4,23,23,27,36,40,44,48
Benson Public School District,Benson Secondary,Swift,399,4,13,17,21,40,49,53,57
Benson Public School District,Northside Elementary,Swift,377,0,0,9,18,37,56,60,64
Bertha-Hewitt Public School District,Bertha Elementary,Todd,273,0,0,0,0,0,0,0,0
Bertha-Hewitt Public School District,Bertha Secondary,Todd,256,0,0,0,0,0,0,0,0
Browerville Public School District,Browerville Elementary,Todd,269,4,8,27,31,35,35,35,35
Browerville Public School District,Browerville Secondary,Todd,262,4,8,37,41,45,45,45,45
Browns Valley Public School District,Browns Valley Elementary,Traverse,119,0,0,0,0,0,0,0,0
Browns Valley Public School District,Browns Valley Middle,Traverse,64,0,0,0,0,0,0,0,0
Wheaton Area Public School District,Pearson Elementary,Traverse,165,4,13,13,13,17,17,17,17
Wheaton Area Public School District,Wheaton Secondary,Traverse,206,0,0,0,0,4,4,4,4
Wabasha-Kellogg Public School Dist.,Wabasha-Kellogg Elementary,Wabasha,204,0,0,0,4,8,17,21,25
Wabasha-Kellogg Public School Dist.,Wabasha-Kellogg Secondary,Wabasha,258,0,0,0,0,4,13,17,21
Wabasha-Kellogg Public School Dist.,Falcon View Connections Academy,Wabasha,459,0,0,0,0,0,0,0,0
Lake City Public School District,Bluff View Elementary,Wabasha,579,0,0,4,23,32,41,45,49
Lake City Public School District,Lincoln Secondary,Wabasha,587,4,13,22,51,70,74,78,82
Verndale Public School District,Verndale Elementary,Wadena,259,0,0,4,13,22,26,30,34
Verndale Public School District,Verndale Secondary,Wadena,254,0,0,9,18,27,31,35,39
Sebeka Public School District,Sebeka Elementary,Wadena,221,0,0,0,0,4,4,4,4
Sebeka Public School District,Sebeka Secondary,Wadena,227,9,18,18,18,22,22,22,22
Menahga Public School District,Menahga Elementary,Wadena,289,4,13,22,26,30,30,30,30
Menahga Public School District,Menahga Middle School,Wadena,280,0,0,0,0,0,0,0,0
Menahga Public School District,MENAHGA HIGH SCHOOL,Wadena,269,4,23,23,23,27,27,27,27
Waseca Public School District,Hartley Elementary,Waseca,421,0,0,0,0,4,4,4,4
Waseca Public School District,Waseca Intermediate School,Waseca,354,4,13,13,13,17,17,17,17
Waseca Public School District,Waseca Junior High,Waseca,325,9,18,18,18,22,22,22,22
Waseca Public School District,Waseca Senior High,Waseca,583,9,18,18,18,22,22,22,22
Waseca Public School District,Waseca Area Learning Center,Waseca,71,0,0,0,0,0,0,0,0
Forest Lake Public School District,Forest Lake Area Community School,Washington,200,9,18,18,18,22,22,22,22
Forest Lake Public School District,Forest Lake Area High School,Washington,1933,19,68,117,126,135,139,148,152
Forest Lake Public School District,Forest Lake Area Middle School,Washington,826,4,13,22,31,35,39,43,43
Forest Lake Public School District,Columbus Elementary,Anoka,384,4,13,13,13,17,17,17,17
Forest Lake Public School District,Forest Lake Elementary,Washington,333,0,0,0,0,0,0,0,0
Forest Lake Public School District,Forest View Elementary,Washington,413,0,0,0,4,8,17,21,25
Forest Lake Public School District,Lino Lakes Elementary,Anoka,464,0,0,4,8,17,21,25,29
Forest Lake Public School District,Linwood Elementary,Anoka,364,0,0,0,4,13,22,26,30
Forest Lake Public School District,Scandia Elementary,Washington,349,9,13,17,26,35,39,43,47
Forest Lake Public School District,Wyoming Elementary,Chisago,515,9,18,27,31,35,44,48,52
Forest Lake Public School District,Early Childhood Special Education,Washington,85,0,0,0,0,0,0,0,0
Mahtomedi Public School District,O.H. Anderson Elementary,Washington,625,4,13,22,31,35,44,48,52
Mahtomedi Public School District,Wildwood Elementary,Washington,573,0,0,0,0,0,0,0,0
Mahtomedi Public School District,Mahtomedi Middle,Washington,835,0,0,9,13,17,36,45,49
Mahtomedi Public School District,Mahtomedi Senior High,Washington,1160,9,18,18,22,26,35,39,43
South Washington County School Dist,Cottage Grove Middle School,Washington,954,4,13,17,21,40,59,63,67
South Washington County School Dist,Lake Middle School,Washington,1142,0,0,4,13,22,31,50,54
South Washington County School Dist,Oltman Middle School,Washington,952,0,0,4,13,22,26,35,39
South Washington County School Dist,South Washington Alternative High School,Washington,101,0,0,0,0,0,0,0,0
South Washington County School Dist,Park High School,Washington,1975,9,18,27,31,50,69,78,82
South Washington County School Dist,East Ridge High School,Washington,1954,4,8,17,21,30,39,43,47
South Washington County School Dist,Woodbury Middle School,Washington,1158,0,0,0,4,8,17,36,40
South Washington County School Dist,Woodbury High School,Washington,1972,0,0,4,13,22,41,50,54
South Washington County School Dist,Armstrong Elementary,Washington,331,0,0,0,4,8,17,21,25
South Washington County School Dist,Nuevas Fronteras Spanish Immersion Elementary,Washington,466,0,0,4,13,22,41,50,54
South Washington County School Dist,Crestview Elementary,Washington,411,9,13,22,26,45,54,58,62
South Washington County School Dist,Ages 3-5 Early Childhood Special Education,Washington,516,0,0,0,0,0,0,0,0
South Washington County School Dist,Grey Cloud Elementary,Washington,711,0,0,4,8,27,46,55,59
South Washington County School Dist,Hillside Elementary,Washington,431,0,0,4,8,27,36,40,44
South Washington County School Dist,Cottage Grove Elementary,Washington,428,0,0,4,8,27,36,40,44
South Washington County School Dist,Newport Elementary,Washington,266,0,0,0,0,0,0,0,0
South Washington County School Dist,Pine Hill Elementary,Washington,477,4,13,22,26,35,39,48,52
South Washington County School Dist,Liberty Ridge Elementary,Washington,768,0,0,4,8,27,36,40,44
South Washington County School Dist,Pullman Elementary,Washington,423,4,13,22,26,30,39,43,47
South Washington County School Dist,Red Rock Elementary,Washington,634,0,0,4,13,32,36,40,44
South Washington County School Dist,Royal Oaks Elementary,Washington,516,0,0,19,28,47,56,60,64
South Washington County School Dist,Gordon Bailey Elementary,Washington,610,0,0,0,0,0,0,0,0
South Washington County School Dist,Woodbury Elementary,Washington,435,0,0,0,4,8,12,21,25
South Washington County School Dist,Middleton Elementary,Washington,667,0,0,9,28,57,66,70,74
South Washington County School Dist,Next Step Transition Program,Washington,77,0,0,0,0,0,0,0,0
South Washington County School Dist,Valley Crossing Elementary,Washington,614,0,0,4,8,27,31,35,39
Stillwater Area Public School Dist.,Stillwater Area High School,Washington,2730,9,18,27,31,40,69,78,87
Stillwater Area Public School Dist.,Oak-Land Middle School,Washington,981,0,0,9,13,22,41,60,64
Stillwater Area Public School Dist.,Stillwater Middle School,Washington,926,0,0,0,4,8,27,31,35
Stillwater Area Public School Dist.,St Croix Valley Area Learning Cntr.,Washington,74,0,0,0,0,0,0,0,0
Stillwater Area Public School Dist.,Afton-Lakeland Elementary,Washington,440,0,0,4,23,27,31,35,35
Stillwater Area Public School Dist.,Andersen Elementary,Washington,312,0,0,4,8,17,26,30,34
Stillwater Area Public School Dist.,Lake Elmo Elementary,Washington,676,4,13,13,17,21,40,49,53
Stillwater Area Public School Dist.,Lily Lake Elementary,Washington,437,0,0,0,0,0,0,0,0
Stillwater Area Public School Dist.,Stonebridge Elementary,Washington,396,0,0,0,4,8,17,21,25
Stillwater Area Public School Dist.,Brookview Elementary,Washington,477,0,0,4,8,17,21,25,29
Stillwater Area Public School Dist.,GATE 4/5,Washington,59,0,0,0,0,0,0,0,0
Stillwater Area Public School Dist.,Stillwater Special Services-ECSE,Washington,205,0,0,0,0,0,0,0,0
Stillwater Area Public School Dist.,Rutherford Elementary,Washington,548,0,0,0,4,13,17,26,30
Butterfield Public School District,Butterfield Elementary,Watonwan,119,0,0,0,0,0,0,0,0
Butterfield Public School District,Butterfield Secondary,Watonwan,99,0,0,0,0,0,0,0,0
Madelia Public School District,Madelia Elementary,Watonwan,343,0,0,0,0,0,0,0,0
Madelia Public School District,Madelia Secondary,Watonwan,269,0,0,0,0,0,0,0,0
St. James Public School District,St. James Northside Elementary,Watonwan,452,0,0,4,8,17,26,35,39
St. James Public School District,Armstrong School,Watonwan,69,0,0,0,0,0,0,0,0
St. James Public School District,St. James Middle/High School,Watonwan,506,0,0,0,0,4,8,17,21
Breckenridge Public School District,Breckenridge Elementary,Wilkin,309,0,0,0,0,0,0,0,0
Breckenridge Public School District,Breckenridge Middle,Wilkin,91,0,0,0,0,0,0,0,0
Breckenridge Public School District,Breckenridge Senior High,Wilkin,219,0,0,9,13,22,22,22,22
Rothsay Public School District,Rothsay Elementary,Wilkin,172,0,0,0,0,0,0,0,0
Rothsay Public School District,Rothsay Secondary,Wilkin,128,0,0,0,0,0,0,0,0
Campbell-Tintah Public School Dist.,Campbell-Tintah Elementary,Wilkin,72,0,0,0,0,0,0,0,0
Campbell-Tintah Public School Dist.,Campbell-Tintah Secondary,Wilkin,64,0,0,0,0,0,0,0,0
Lewiston-Altura Public School District,Lewiston-Altura Elementary,Winona,215,0,0,0,0,4,8,17,21
Lewiston-Altura Public School District,Lewiston-Altura Intermediate El,Winona,107,0,0,0,0,0,0,0,0
Lewiston-Altura Public School District,Lewiston-Altura Secondary,Winona,401,9,18,37,46,50,54,58,58
St. Charles Public School District,St. Charles Elementary,Winona,526,4,13,17,21,30,34,38,42
St. Charles Public School District,St. Charles Secondary,Winona,478,4,23,23,23,27,27,27,27
Winona Area Public School District,Jefferson Elementary,Winona,314,0,0,0,0,0,0,0,0
Winona Area Public School District,Winona Early Childhood Special Ed.,Winona,79,0,0,0,0,0,0,0,0
Winona Area Public School District,Winona Middle,Winona,774,9,18,18,22,26,30,39,43
Winona Area Public School District,Winona Senior High,Winona,890,0,0,4,8,12,21,30,34
Winona Area Public School District,Washington-Kosciusko Elementary,Winona,312,0,0,0,0,4,8,17,21
Winona Area Public School District,Goodview Elementary,Winona,196,9,13,13,17,21,30,34,38
Winona Area Public School District,Winona Area Learning Center,Winona,69,0,0,0,0,0,0,0,0
Annandale Public School District,Annandale Elementary School,Wright,923,4,23,52,71,90,109,113,117
Annandale Public School District,Annandale Middle School,Wright,497,0,0,9,28,47,51,55,59
Annandale Public School District,Annandale Senior High,Wright,583,4,13,17,26,30,34,38,38
Buffalo-Hanover-Montrose Public Sch,Parkside Elementary,Wright,353,0,0,4,8,17,26,30,34
Buffalo-Hanover-Montrose Public Sch,Buffalo Early Child. Sp. Ed Program,Wright,121,0,0,0,0,0,0,0,0
Buffalo-Hanover-Montrose Public Sch,Hanover Elementary,Wright,378,4,8,27,31,40,44,48,52
Buffalo-Hanover-Montrose Public Sch,Buffalo Community Middle,Wright,1304,4,13,22,31,40,59,68,77
Buffalo-Hanover-Montrose Public Sch,Buffalo Senior High,Wright,1832,9,28,77,96,105,114,123,127
Buffalo-Hanover-Montrose Public Sch,Montrose Elementary School of Innovation,Wright,343,0,0,9,13,17,17,17,17
Buffalo-Hanover-Montrose Public Sch,Tatanka Elementary STEM School,Wright,456,19,23,27,36,45,54,58,62
Buffalo-Hanover-Montrose Public Sch,Northwinds Elementary,Wright,438,0,0,4,8,17,21,25,29
Buffalo-Hanover-Montrose Public Sch,Discovery Elementary,Wright,227,4,13,13,13,17,17,17,17
Delano Public School District,Delano Elementary,Wright,637,4,23,32,36,40,40,40,40
Delano Public School District,Delano Intermediate School,Wright,534,4,23,42,46,50,50,50,50
Delano Public School District,Delano High School,Wright,1213,9,38,67,71,80,89,93,97
Maple Lake Public School District,Maple Lake Elementary,Wright,379,0,0,4,13,32,36,40,44
Maple Lake Public School District,Maple Lake Secondary,Wright,401,0,0,4,8,17,21,25,29
Monticello Public School District,Pinewood Elementary,Wright,750,0,0,4,8,12,21,25,29
Monticello Public School District,Monticello Senior High,Wright,1271,19,38,57,61,65,84,93,97
Monticello Public School District,Monticello Middle,Wright,1011,0,0,9,13,42,61,65,69
Monticello Public School District,Little Mountain Elementary,Wright,558,0,0,0,0,0,0,0,0
Monticello Public School District,Eastview Education Center,Wright,323,0,0,0,4,8,17,21,25
Monticello Public School District,Monticello Nature Based Education,Wright,121,0,0,0,0,0,0,0,0
Rockford Public School District,Rockford Secondary,Hennepin,495,4,13,13,13,17,17,17,17
Rockford Public School District,Rockford Elementary Arts Magnet Sch,Hennepin,577,0,0,4,8,17,26,30,34
Rockford Public School District,Rockford Middle,Wright,481,0,0,0,0,0,0,0,0
St. Michael-Albertville School Dist,Albertville Primary,Wright,441,0,0,0,4,8,17,26,30
St. Michael-Albertville School Dist,St. Michael-Albertville Senior High,Wright,2197,19,28,47,76,95,114,118,122
St. Michael-Albertville School Dist,St. Michael-Albertville Middle East,Wright,884,4,33,52,61,80,89,108,112
St. Michael-Albertville School Dist,St. Michael Elementary,Wright,487,0,0,4,8,27,46,50,54
St. Michael-Albertville School Dist,Big Woods Elementary,Wright,653,4,23,27,31,40,49,53,57
St. Michael-Albertville School Dist,Fieldstone Elementary School,Wright,579,4,13,17,36,40,49,53,57
St. Michael-Albertville School Dist,St. Michael-Albertville Middle West,Wright,1082,4,13,32,41,60,79,98,102
Canby Public School District,Canby Secondary,Yellow Medicine,293,0,0,0,0,0,0,0,0
Canby Public School District,Canby Elementary,Yellow Medicine,274,0,0,9,18,22,26,30,30
Cambridge-Isanti Public School District,Cambridge Primary School,Isanti,471,0,0,9,13,22,31,35,39
Cambridge-Isanti Public School District,Isanti Primary School,Isanti,444,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,School For All Seasons,Isanti,127,0,0,0,0,0,0,0,0
Cambridge-Isanti Public School District,Cambridge Intermediate School,Isanti,525,0,0,0,4,13,17,26,30
Cambridge-Isanti Public School District,Isanti Intermediate School,Isanti,441,0,0,4,8,17,36,40,44
Cambridge-Isanti Public School District,Cambridge Middle School,Isanti,601,0,0,4,13,32,36,40,44
Cambridge-Isanti Public School District,Isanti Middle School,Isanti,528,0,0,9,13,22,26,30,34
Cambridge-Isanti Public School District,Cambridge-Isanti High School,Isanti,1561,9,38,67,96,125,129,133,137
Cambridge-Isanti Public School District,Riverside Academy,Isanti,53,0,0,0,0,0,0,0,0
Milaca Public School District,Milaca Elementary,Mille Lacs,852,0,0,9,28,37,41,45,49
Milaca Public School District,Milaca Secondary High,Mille Lacs,786,0,0,19,28,37,46,50,54
Ulen-Hitterdal Public School Dist,Ulen-Hitterdal Elementary,Clay,151,0,0,0,0,0,0,0,0
Ulen-Hitterdal Public School Dist,Ulen-Hitterdal Secondary,Clay,143,0,0,0,0,0,0,0,0
Northeast Metro 916,Quora Secondary School,Ramsey,174,0,0,0,0,0,0,0,0
Northeast Metro 916,Karner Blue Education Center,Anoka,102,0,0,0,4,13,17,21,25
Northeast Metro 916,South Campus Education Center,Ramsey,63,0,0,0,0,0,0,0,0
Northeast Metro 916,Pankalo Education Center,Washington,93,0,0,0,0,0,0,0,0
Northeast Metro 916,916 MAHTOMEDI ACADEMY,Ramsey,102,0,0,0,0,0,0,0,0
