District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Minneapolis Public School District,MPS Metro HA,Hennepin,Public,15,7864,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,MPS Metro SJ,Hennepin,Public,27,508,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,MPS Metro C,Hennepin,Public,1,2048,0,0,0,0,0,0,0,0,0,0,0
Hill City Public School District,Hill City Elementary,Aitkin,Public,84,31,0,0,0,0,0,0,0,0,0,0,0
Hill City Public School District,Hill City Middle School,Aitkin,Public,69,480,0,0,0,0,0,0,0,0,0,0,0
Hill City Public School District,Hill City Senior High,Aitkin,Public,83,7680,0,0,0,0,0,0,0,0,0,0,0
McGregor Public School District,McGregor Elementary,Aitkin,Public,213,127,0,0,0,0,0,0,0,0,0,0,0
McGregor Public School District,McGregor Area Learning Program,Aitkin,Public,3,6144,0,0,0,0,0,0,0,0,0,0,0
McGregor Public School District,McGregor Secondary,Aitkin,Public,198,8064,0,0,0,0,0,0,10,10,10,10,10
South St. Paul Public School District,South St. Paul Middle School,Dakota,Public,732,448,0,0,0,5,5,10,10,15,15,15,15
South St. Paul Public School District,South St. Paul High School,Dakota,Public,896,7680,0,0,0,0,5,10,20,25,25,25,25
South St. Paul Public School District,S St. Paul Community Lrng. Cntr.,Dakota,Public,96,7168,0,0,0,0,0,0,0,0,0,0,0
South St. Paul Public School District,Early Childhood Special Ed Program,Dakota,Public,44,1,0,0,0,0,0,0,0,0,0,0,0
South St. Paul Public School District,Lincoln Center Elementary,Dakota,Public,738,63,0,10,15,15,20,25,30,30,30,30,30
South St. Paul Public School District,Kaposia Education Center Elementary,Dakota,Public,676,63,0,0,0,0,0,0,5,10,15,15,15
Anoka-Hennepin Public School District,Anoka High School,Anoka,Public,2272,7680,5,15,25,30,40,50,55,55,60,65,65
Anoka-Hennepin Public School District,Coon Rapids High School,Anoka,Public,2332,7680,5,15,15,20,30,40,45,45,45,45,45
Anoka-Hennepin Public School District,Anoka Middle School For The Arts,Anoka,Public,1750,448,10,30,40,45,55,60,60,65,65,75,75
Anoka-Hennepin Public School District,Coon Rapids Middle School,Anoka,Public,1521,448,0,5,10,10,20,30,40,40,40,45,45
Anoka-Hennepin Public School District,Jackson Middle,Hennepin,Public,1947,448,10,20,20,25,35,45,50,55,60,70,70
Anoka-Hennepin Public School District,Northdale Middle,Anoka,Public,1335,448,5,25,30,30,35,40,40,45,50,55,55
Anoka-Hennepin Public School District,Blaine High School,Anoka,Public,2940,7680,5,15,35,40,45,50,55,60,65,75,75
Anoka-Hennepin Public School District,Andover High School,Anoka,Public,1679,7680,0,10,20,25,35,45,45,45,45,50,50
Anoka-Hennepin Public School District,Anoka-Hennepin Regional High School,Anoka,Public,148,7680,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Champlin Park High School,Hennepin,Public,2931,7680,10,20,25,35,45,55,60,65,75,85,85
Anoka-Hennepin Public School District,Oak View Middle,Anoka,Public,1233,448,0,0,5,5,10,20,25,25,25,25,25
Anoka-Hennepin Public School District,Roosevelt Middle,Anoka,Public,825,448,0,5,5,5,5,10,10,10,10,10,10
Anoka-Hennepin Public School District,Secondary Technical Education Program S.T.E.P.,Anoka,Public,59,6144,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Adams Elementary,Anoka,Public,491,63,0,5,5,5,10,15,15,15,20,25,25
Anoka-Hennepin Public School District,Crooked Lake Elementary,Anoka,Public,401,63,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Franklin Elementary,Anoka,Public,312,63,0,0,0,0,5,5,5,5,5,5,5
Anoka-Hennepin Public School District,Hamilton Elementary,Anoka,Public,383,63,0,0,0,0,5,5,5,5,5,5,5
Anoka-Hennepin Public School District,Hoover Elementary - Biomedical Health Sciences and Engineering,Anoka,Public,474,63,0,0,5,5,5,5,5,5,5,5,5
Anoka-Hennepin Public School District,Jefferson Elementary,Anoka,Public,537,63,0,0,5,5,5,5,10,10,10,10,10
Anoka-Hennepin Public School District,Johnsville Elementary,Anoka,Public,582,63,0,5,5,5,10,10,10,10,10,10,10
Anoka-Hennepin Public School District,Lincoln Elementary,Anoka,Public,367,63,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Madison Elementary,Anoka,Public,393,63,0,0,0,0,5,5,5,5,5,5,5
Anoka-Hennepin Public School District,McKinley Elementary,Anoka,Public,569,63,0,0,0,5,10,20,20,20,20,20,20
Anoka-Hennepin Public School District,Mississippi Elementary,Anoka,Public,368,63,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Monroe Elementary,Hennepin,Public,551,63,0,0,0,5,5,5,5,5,5,5,5
Anoka-Hennepin Public School District,Morris Bye Elementary,Anoka,Public,481,63,0,0,0,0,5,10,10,10,10,10,10
Anoka-Hennepin Public School District,Sand Creek Elementary,Anoka,Public,586,63,0,0,0,0,10,10,10,10,10,10,10
Anoka-Hennepin Public School District,University Elementary,Anoka,Public,642,63,5,15,15,15,15,15,20,20,20,20,20
Anoka-Hennepin Public School District,Wilson Elementary,Anoka,Public,490,63,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Evergreen Park Elementary,Hennepin,Public,461,63,0,0,0,0,0,5,5,5,5,5,5
Anoka-Hennepin Public School District,Eisenhower Elementary,Anoka,Public,469,63,0,5,5,5,5,5,5,5,5,5,5
Anoka-Hennepin Public School District,Ramsey Elementary,Anoka,Public,641,63,0,0,0,0,0,5,10,10,10,10,10
Anoka-Hennepin Public School District,Dayton Elementary,Hennepin,Public,511,63,5,15,15,15,15,20,20,20,20,20,20
Anoka-Hennepin Public School District,Oxbow Creek Elementary,Hennepin,Public,1062,63,0,10,15,15,25,35,35,35,35,45,45
Anoka-Hennepin Public School District,Andover Elementary,Anoka,Public,1138,63,5,15,20,25,35,45,50,50,50,50,50
Anoka-Hennepin Public School District,Rum River Elementary,Anoka,Public,736,63,0,0,0,5,5,5,5,5,5,5,5
Anoka-Hennepin Public School District,Champlin/Brooklyn Park Academy for Math and Environmental Science,Hennepin,Public,738,63,0,0,0,0,5,15,20,20,20,20,20
Anoka-Hennepin Public School District,Sunrise Elementary,Anoka,Public,996,63,5,10,10,10,15,20,25,25,30,30,30
Anoka-Hennepin Public School District,Brookside Elementary,Anoka,Public,742,63,0,5,5,5,5,10,15,15,15,20,20
Anoka-Hennepin Public School District,Anoka-Hennepin Technical High School,Anoka,Public,170,6144,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Bridges,Anoka,Public,76,4096,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Early Childhood/Special Education,Anoka,Public,862,1,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Anthony Louis House,Anoka,Public,4,4608,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,River Trail Learning Center at LO Jacob,Anoka,Public,227,8191,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Pathways,Anoka,Public,131,4096,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Compass On-Line,Anoka,Public,9,7168,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,Compass-Bell Center,Anoka,Public,6,896,0,0,0,0,0,0,0,0,0,0,0
Anoka-Hennepin Public School District,STEP Ahead High School,Anoka,Public,141,7680,0,0,0,0,0,0,0,0,0,0,0
Centennial Public School District,Pines School - ACS,Anoka,Public,18,7680,0,0,0,0,0,0,0,0,0,0,0
Centennial Public School District,Pines School - NSP,Anoka,Public,16,6976,0,0,0,0,0,0,0,0,0,0,0
Centennial Public School District,Pines School - RJC,Anoka,Public,16,7232,0,0,0,0,0,0,0,0,0,0,0
Centennial Public School District,Pines School Day Program,Anoka,Public,7,7424,0,0,0,0,0,0,0,0,0,0,0
Centennial Public School District,Centennial High School,Anoka,Public,2006,7680,10,20,30,40,50,60,70,75,80,110,110
Centennial Public School District,Centennial Middle,Anoka,Public,1569,448,5,25,35,45,65,75,80,85,90,110,110
Centennial Public School District,Centennial Area Learning Center,Anoka,Public,45,7680,0,0,0,0,0,0,0,0,0,0,0
Centennial Public School District,CALC Transition,Anoka,Public,24,4096,0,0,0,0,0,0,0,0,0,0,0
Centennial Public School District,Project Search,Anoka,Public,10,4096,0,0,0,0,0,0,0,0,0,0,0
Centennial Public School District,Centennial Elementary,Anoka,Public,526,63,0,5,10,10,15,15,15,15,15,20,20
Centennial Public School District,Centerville Elementary,Anoka,Public,517,63,0,5,10,10,15,35,40,40,40,50,50
Centennial Public School District,Golden Lake Elementary,Anoka,Public,396,63,0,0,0,5,10,10,15,15,15,20,20
Centennial Public School District,Rice Lake Elementary,Anoka,Public,624,63,5,15,15,25,35,55,55,60,60,70,70
Centennial Public School District,Early Childhood Center,Anoka,Public,110,1,0,0,0,0,0,0,0,0,0,0,0
Centennial Public School District,Blue Heron Elementary,Anoka,Public,775,63,10,20,25,25,35,40,45,45,45,50,50
Columbia Heights Public School District,Columbia Heights Senior High,Anoka,Public,1003,7680,0,0,0,0,0,5,10,10,15,15,15
Columbia Heights Public School District,Columbia Academy,Anoka,Public,696,448,0,0,0,0,5,5,5,5,5,10,10
Columbia Heights Public School District,Highland Elementary,Anoka,Public,523,63,0,0,0,0,0,0,0,0,0,0,0
Columbia Heights Public School District,North Park Elementary,Anoka,Public,391,63,0,0,0,0,0,0,0,0,0,0,0
Columbia Heights Public School District,Valley View Elementary,Anoka,Public,460,63,0,0,0,0,5,15,20,20,20,20,20
Columbia Heights Public School District,Columbia Academy Anchor Program,Anoka,Public,4,320,0,0,0,0,0,0,0,0,0,0,0
Columbia Heights Public School District,Early Childhood,Anoka,Public,50,1,0,0,0,0,0,0,0,0,0,0,0
Columbia Heights Public School District,Columbia Heights Transition Program,Anoka,Public,9,4096,0,0,0,0,0,0,0,0,0,0,0
Columbia Heights Public School District,Anchor,Anoka,Public,6,7168,0,0,0,0,0,0,0,0,0,0,0
Fridley Public School District,Voluntary Prekindergarten School,Anoka,Public,109,1,0,0,0,0,0,0,0,0,0,0,0
Fridley Public School District,Fridley Senior High,Anoka,Public,916,7680,0,10,15,15,20,25,30,30,40,45,45
Fridley Public School District,Fridley Middle,Anoka,Public,826,480,0,10,20,25,30,35,40,40,40,45,45
Fridley Public School District,Hayes Elementary,Anoka,Public,479,31,0,0,0,0,0,0,0,0,0,0,0
Fridley Public School District,Early Childhood Special Education School,Anoka,Public,26,1,0,0,0,0,0,0,0,0,0,0,0
Fridley Public School District,Stevenson Elementary,Anoka,Public,472,31,0,5,10,10,10,10,10,10,10,10,10
Fridley Public School District,Transitions School,Anoka,Public,2,4096,0,0,0,0,0,0,0,0,0,0,0
Fridley Public School District,Fridley Moore Lake Area Learning Center,Anoka,Public,76,7680,0,0,0,0,0,0,0,0,0,0,0
Fridley Public School District,Fridley Middle Area Learning Center,Anoka,Public,8,384,0,0,0,0,0,0,0,0,0,0,0
St. Francis Area Schools,Saints Online,Anoka,Public,129,8128,0,0,0,0,0,0,0,0,0,0,0
St. Francis Area Schools,Saints Guided Studies,Anoka,Public,1,4096,0,0,0,0,0,0,0,0,0,0,0
St. Francis Area Schools,Saints Academy,Anoka,Public,175,8064,0,0,0,0,0,0,0,0,0,0,0
St. Francis Area Schools,St. Francis High,Anoka,Public,1214,7680,5,45,65,65,70,75,80,80,80,90,90
St. Francis Area Schools,St. Francis Middle,Anoka,Public,828,448,0,20,25,30,30,30,35,35,35,40,40
St. Francis Area Schools,Transition 15,Anoka,Public,17,4096,0,0,0,0,0,0,0,0,0,0,0
St. Francis Area Schools,ECSE@ ISD 15 Lifelong Learning,Anoka,Public,111,1,0,0,0,0,0,0,0,0,0,0,0
St. Francis Area Schools,St. Francis Elementary,Anoka,Public,599,63,0,0,5,10,10,10,10,10,10,10,10
St. Francis Area Schools,Cedar Creek Elementary School,Anoka,Public,658,63,5,10,20,20,20,25,25,25,25,30,30
St. Francis Area Schools,East Bethel Elementary School,Anoka,Public,495,63,0,0,10,15,15,20,25,25,25,25,25
St. Francis Area Schools,Crossroads School,Anoka,Public,7,7744,0,0,0,0,0,0,0,0,0,0,0
Spring Lake Park Public Schools,Spring Lake Park Senior High,Anoka,Public,1850,7680,0,5,15,20,30,50,60,65,65,65,65
Spring Lake Park Public Schools,Early Education,Anoka,Public,83,1,0,0,0,0,0,0,0,0,0,0,0
Spring Lake Park Public Schools,Westwood Intermediate and Middle School,Anoka,Public,1866,480,0,10,10,10,20,30,35,40,45,50,50
Spring Lake Park Public Schools,Northpoint Elementary,Anoka,Public,552,31,0,5,10,10,15,20,20,20,25,30,30
Spring Lake Park Public Schools,Woodcrest Elementary Spanish Immersion,Anoka,Public,534,31,0,0,0,0,0,0,0,0,0,0,0
Spring Lake Park Public Schools,Park Terrace Elementary,Anoka,Public,568,31,5,10,10,10,15,20,20,20,20,20,20
Spring Lake Park Public Schools,Centerview Elementary,Anoka,Public,639,31,0,5,5,5,5,15,20,25,25,25,25
Spring Lake Park Public Schools,Distance Learning Indep Study,Anoka,Public,1,4096,0,0,0,0,0,0,0,0,0,0,0
Spring Lake Park Public Schools,Elementary Lighthouse,Anoka,Public,36,126,0,0,0,0,0,0,0,0,0,0,0
Spring Lake Park Public Schools,Secondary Lighthouse,Anoka,Public,40,8064,0,0,0,0,0,0,0,0,0,0,0
Detroit Lakes Public School District,Detroit Lakes Senior High,Becker,Public,898,7680,0,0,0,0,5,5,5,5,5,5,5
Detroit Lakes Public School District,Detroit Lakes Middle,Becker,Public,622,448,0,0,0,0,5,5,5,5,5,5,5
Detroit Lakes Public School District,Rossman Elementary,Becker,Public,570,63,0,0,0,5,5,5,5,5,5,5,5
Detroit Lakes Public School District,Detroit Lakes Middle ALC,Becker,Public,5,384,0,0,0,0,0,0,0,0,0,0,0
Detroit Lakes Public School District,DETROIT LAKES AREA LEARNING CENTER,Becker,Public,53,7680,0,0,0,0,0,0,0,0,0,0,0
Detroit Lakes Public School District,Lincoln Early Childhood Ed. Center,Becker,Public,60,1,0,0,0,0,0,0,0,0,0,0,0
Detroit Lakes Public School District,Roosevelt Elementary,Becker,Public,599,63,0,0,0,0,10,10,10,10,10,10,10
Frazee-Vergas Public School District,Frazee Elementary,Becker,Public,456,127,0,10,10,15,15,15,15,15,15,15,15
Frazee-Vergas Public School District,Frazee Secondary,Becker,Public,420,8064,0,5,5,5,5,5,5,5,5,10,10
Pine Point Public School District,Pine Point Elementary,Becker,Public,87,511,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Gene Dillon Elementary School,Beltrami,Public,746,48,0,5,5,5,10,10,10,10,10,10,10
Bemidji Public School District,Bemidji Middle,Beltrami,Public,1126,448,0,0,0,0,10,10,10,10,10,10,10
Bemidji Public School District,Northern Elementary,Beltrami,Public,307,15,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Bemidji Senior High,Beltrami,Public,1455,7680,0,5,5,10,15,15,15,15,15,15,15
Bemidji Public School District,Bemidji Senior Lumberjack ALC,Beltrami,Public,62,7168,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Paul Bunyan Center,Beltrami,Public,112,1,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,J.W. Smith Elementary,Beltrami,Public,187,15,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Central Elementary,Beltrami,Public,119,15,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Lincoln Elementary,Beltrami,Public,340,15,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Lakeside Learning Center,Beltrami,Public,8,8064,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Solway Elementary,Beltrami,Public,129,15,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Horace May Elementary,Beltrami,Public,278,15,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,First City School,Beltrami,Public,48,8064,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,BEMIDJI AREA LEARNING CENTER,Beltrami,Public,52,7168,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Oshki Manidoo Center,Beltrami,Public,2,2176,0,0,0,0,0,0,0,0,0,0,0
Blackduck Public School District,Blackduck Elementary,Beltrami,Public,353,127,0,0,0,0,0,0,0,0,0,0,0
Blackduck Public School District,Blackduck Secondary,Beltrami,Public,289,8064,5,5,5,5,5,5,5,5,5,5,5
Kelliher Public School District,Kelliher Elementary,Beltrami,Public,158,127,0,0,0,0,0,0,0,0,0,0,0
Kelliher Public School District,Kelliher Secondary,Beltrami,Public,137,8064,0,0,0,0,0,0,0,0,0,0,0
Red Lake Public School District,Red Lake Elementary,Beltrami,Public,579,62,0,0,0,0,5,5,5,5,5,10,10
Red Lake Public School District,Red Lake Early Childhood Center,Beltrami,Public,123,1,0,0,0,0,0,0,0,0,0,0,0
Red Lake Public School District,Ponemah Elementary,Beltrami,Public,144,511,0,0,0,0,0,0,0,0,0,0,0
Red Lake Public School District,Red Lake Secondary,Beltrami,Public,320,7680,0,0,0,0,0,0,0,0,0,0,0
Red Lake Public School District,RED LAKE ALTERNATIVE LEARNING,Beltrami,Public,75,7680,0,0,0,0,0,0,0,0,0,0,0
Red Lake Public School District,Red Lake Middle School,Beltrami,Public,269,448,0,0,0,0,0,0,0,0,0,0,0
Red Lake Public School District,Red Lake Middle Level ALC,Beltrami,Public,15,448,0,0,0,0,0,0,0,0,0,0,0
Red Lake Public School District,Red Lake Early Childhood Special Education Extended Year,Beltrami,Public,1,1,0,0,0,0,0,0,0,0,0,0,0
