MDE ID,County,Name,City,10/02/21,10/16/21,10/30/21,11/13/21
0001-01-001,Aitkin,Aitkin Secondary School,Aitkin,5-9,10-19,0-4,0-4
0001-01-002,Aitkin,Rippleside Elementary,Aitkin,0-4,5-9,0-4,0-4
0011-01-400,Anoka,Adams Elementary,Coon Rapids,5-9,0-4,0-4,0-4
0011-01-426,Anoka,Andover Elementary,Andover,10-19,5-9,0-4,0-4
0011-01-094,Anoka,Andover High School,Andover,10-19,10-19,5-9,0-4
0011-01-001,Anoka,Anoka High School,Anoka,10-19,10-19,5-9,0-4
0011-01-003,Anoka,Anoka Middle School for the Arts,Anoka,20-29,10-19,0-4,0-4
0016-31-004,Anoka,Avail Academy (Blaine K-8 Campus),Blaine,10-19,0-4,0-4,0-4
0011-01-091,Anoka,Blaine High School,Blaine,10-19,20-29,5-9,0-4
0012-01-515,Anoka,Blue Heron Elementary,Lino Lakes,10-19,5-9,0-4,0-4
0011-01-432,Anoka,Brookside Elementary,Ramsey,5-9,0-4,0-4,0-4
0015-01-784,Anoka,Cedar Creek Elementary School,Cedar,5-9,10-19,0-4,0-4
0012-01-510,Anoka,Centennial Elementary,Circle Pines,5-9,5-9,0-4,0-4
0012-01-164,Anoka,Centennial High School,Circle Pines,10-19,10-19,0-4,0-4
0012-01-166,Anoka,Centennial Middle,Lino Lakes,20-29,10-19,5-9,0-4
0016-01-776,Anoka,Centerview Elementary,Blaine,5-9,0-4,0-4,0-4
0012-01-511,Anoka,Centerville Elementary,Centerville,5-9,5-9,0-4,0-4
0011-01-002,Anoka,Coon Rapids High School,Coon Rapids,10-19,0-4,0-4,0-4
0011-01-004,Anoka,Coon Rapids Middle School,Coon Rapids,5-9,5-9,0-4,0-4
4185-07-010,Anoka,DaVinci Academy,Ham Lake,5-9,0-4,5-9,0-4
0015-01-848,Anoka,East Bethel Elementary School,Cedar,0-4,10-19,0-4,0-4
0011-01-422,Anoka,Eisenhower Elementary,Coon Rapids,5-9,0-4,0-4,0-4
0014-01-023,Anoka,Fridley Middle,Fridley,10-19,10-19,5-9,0-4
0014-01-022,Anoka,Fridley Senior High,Fridley,10-19,5-9,0-4,0-4
0012-01-512,Anoka,Golden Lake Elementary,Circle Pines,0-4,0-4,5-9,5-9
0011-01-405,Anoka,Hoover Elementary,Coon Rapids,0-4,5-9,0-4,0-4
0011-01-406,Anoka,Jefferson Elementary,Blaine,0-4,5-9,0-4,0-4
0011-01-407,Anoka,Johnsville Elementary,Blaine,5-9,0-4,0-4,0-4
0011-31-014,Anoka,Legacy Christian Academy,Andover,10-19,10-19,0-4,0-4
0011-01-090,Anoka,Northdale Middle,Coon Rapids,20-29,5-9,0-4,0-4
0016-01-772,Anoka,Northpoint Elementary,Blaine,5-9,5-9,0-4,0-4
0011-01-193,Anoka,Oak View Middle,Andover,0-4,5-9,0-4,0-4
