0001-03-458,Minneapolis Public School District,Wellstone High School - SWS,Hennepin,26
0001-03-462,Minneapolis Public School District,Roosevelt High School - SWS,Hennepin,2
0001-03-471,Minneapolis Public School District,Southwest High School - SWS,Hennepin,2
0001-03-474,Minneapolis Public School District,MACC Extended,Hennepin,21
0001-03-625,Minneapolis Public School District,River Bend Educational Center,Hennepin,83
0001-03-685,Minneapolis Public School District,Stadium View,Hennepin,35
0001-03-688,Minneapolis Public School District,MPS Metro HA,Hennepin,15
0001-03-689,Minneapolis Public School District,MPS Metro SJ,Hennepin,27
0001-03-697,Minneapolis Public School District,MPS Metro C,Hennepin,1
0002-01-001,Hill City Public School District,Hill City Elementary,Aitkin,84
0002-01-002,Hill City Public School District,Hill City Middle School,Aitkin,69
0002-01-003,Hill City Public School District,Hill City Senior High,Aitkin,83
0004-01-010,McGregor Public School District,McGregor Elementary,Aitkin,213
0004-01-030,McGregor Public School District,McGregor Area Learning Program,Aitkin,3
0004-01-040,McGregor Public School District,McGregor Secondary,Aitkin,198
0006-03-110,South St. Paul Public School District,South St. Paul Middle School,Dakota,732
0006-03-120,South St. Paul Public School District,South St. Paul High School,Dakota,896
0006-03-303,South St. Paul Public School District,S St. Paul Community Lrng. Cntr.,Dakota,96
0006-03-400,South St. Paul Public School District,Early Childhood Special Ed Program,Dakota,44
0006-03-735,South St. Paul Public School District,Lincoln Center Elementary,Dakota,738
0006-03-737,South St. Paul Public School District,Kaposia Education Center Elementary,Dakota,676
0011-01-001,Anoka-Hennepin Public School District,Anoka High School,Anoka,2272
0011-01-002,Anoka-Hennepin Public School District,Coon Rapids High School,Anoka,2332
0011-01-003,Anoka-Hennepin Public School District,Anoka Middle School For The Arts,Anoka,1750
0011-01-004,Anoka-Hennepin Public School District,Coon Rapids Middle School,Anoka,1521
0011-01-006,Anoka-Hennepin Public School District,Jackson Middle,Hennepin,1947
0011-01-090,Anoka-Hennepin Public School District,Northdale Middle,Anoka,1335
0011-01-091,Anoka-Hennepin Public School District,Blaine High School,Anoka,2940
0011-01-094,Anoka-Hennepin Public School District,Andover High School,Anoka,1679
0011-01-110,Anoka-Hennepin Public School District,Anoka-Hennepin Regional High School,Anoka,148
0011-01-192,Anoka-Hennepin Public School District,Champlin Park High School,Hennepin,2931
0011-01-193,Anoka-Hennepin Public School District,Oak View Middle,Anoka,1233
0011-01-195,Anoka-Hennepin Public School District,Roosevelt Middle,Anoka,825
0011-01-198,Anoka-Hennepin Public School District,Secondary Technical Education Program S.T.E.P.,Anoka,59
0011-01-400,Anoka-Hennepin Public School District,Adams Elementary,Anoka,491
0011-01-402,Anoka-Hennepin Public School District,Crooked Lake Elementary,Anoka,401
0011-01-403,Anoka-Hennepin Public School District,Franklin Elementary,Anoka,312
0011-01-404,Anoka-Hennepin Public School District,Hamilton Elementary,Anoka,383
0011-01-406,Anoka-Hennepin Public School District,Jefferson Elementary,Anoka,537
0011-01-407,Anoka-Hennepin Public School District,Johnsville Elementary,Anoka,582
0011-01-408,Anoka-Hennepin Public School District,Lincoln Elementary,Anoka,367
0011-01-410,Anoka-Hennepin Public School District,Madison Elementary,Anoka,393
