MDE ID, County, Name, City, 9/18/21, 10/2/21
0006-03-735, Dakota, Lincoln Center Elementary, South Saint Paul, 0-4, 10-19
0204-01-040, Dodge, Kasson-Mantorville Middle School, Kasson, 5-9, 0-4
0204-01-030, Dodge, Kasson-Mantorville Senior High, Kasson, 0-4, 5-9
0206-01-320, Douglas, Alexandria Area High School, Alexandria, 5-9, 10-19
0206-01-310, Douglas, Discovery Middle School, Alexandria, 0-4, 10-19
0206-01-130, Douglas, Lincoln Elementary, Alexandria, 5-9, 0-4
0206-01-160, Douglas, Voyager Elementary, Alexandria, 5-9, 0-4
0213-01-010, Douglas, Osakis Elementary, Osakis, 5-9, 0-4
0213-01-020, Douglas, Osakis Secondary, Osakis, 5-9, 5-9
2860-01-010, Faribault, Blue Earth Area Elementary, Blue Earth, 0-4, 5-9
2860-01-023, Faribault, Blue Earth Area Middle, Blue Earth, 0-4, 5-9
2860-01-020, Faribault, Blue Earth Area Secondary, Blue Earth, 0-4, 30-39
0239-01-001, Fillmore, Rushford-Peterson Elementary, Rushford, 0-4, 0-4
0241-01-310, Freeborn, Albert Lea Senior High, Albert Lea, 0-4, 5-9
0241-01-110, Freeborn, Halverson Elementary, Albert Lea, 5-9, 0-4
0241-01-130, Freeborn, Lakeview Elementary, Albert Lea, 0-4, 5-9
0242-01-001, Freeborn, Alden-Conger Secondary, Alden, 0-4, 10-19
0252-01-002, Goodhue, Cannon Falls Secondary, Cannon Falls, 0-4, 0-4
0255-01-015, Goodhue, Pine Island Middle, Pine Island, 0-4, 0-4
2805-01-030, Goodhue, Zumbrota-Mazeppa Primary School, Zumbrota, 5-9, 0-4
0271-31-021, Hennepin, Bloomington Lutheran, Bloomington, 0-4, 5-9
0271-01-447, Hennepin, Olson Elementary, Bloomington, 0-4, 10-19
0271-01-454, Hennepin, Poplar Bridge Elementary, Bloomington, 0-4, 5-9
0286-01-480, Hennepin, Earle Brown Elementary, Brooklyn Center, 0-4, 10-19
0279-01-033, Hennepin, Brooklyn Middle School, Brooklyn Park, 0-4, 5-9
0279-31-006, Hennepin, SB Maranatha Christian Academy, Brooklyn Park, 5-9, 0-4
0279-31-004, Hennepin, St- Vincent de Paul, Brooklyn Park, 0-4, 0-4
