DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
20-21	891	31	CANBY PUBLIC SCHOOL DISTRICT       	2	St. Peter's School                 	10	8	11	10	8	11	8	0	0	0	0	0	0	56	0	66	8	14	22	0	87	Yellow Medicine                              	06W
20-21	911	31	CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST	3	CAMBRIDGE CHRISTIAN SCHOOL         	8	12	12	6	10	6	12	10	11	9	9	5	13	58	57	123	0	0	0	0	30	Isanti                                       	07E
20-21	911	31	CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST	4	St. Scholastica HSC  Academy       	4	3	2	3	4	4	6	3	3	2	0	6	1	22	15	41	0	0	0	0	30	Isanti                                       	07E
20-21	912	31	MILACA PUBLIC SCHOOL DISTRICT      	1	COMMUNITY CHRISTIAN                	9	9	5	5	8	8	7	8	11	0	0	0	0	42	19	70	2	2	4	0	48	Mille Lacs                                   	07E
20-21	2125	31	TRITON SCHOOL DISTRICT             	1	GRACE LUTHERAN                     	2	4	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	20	Dodge                                        	10 
20-21	2125	31	TRITON SCHOOL DISTRICT             	3	MARANATHA SDA SCHOOL               	5	2	4	3	4	1	3	2	0	0	0	0	0	17	2	24	0	0	0	0	20	Dodge                                        	10 
20-21	2134	31	UNITED SOUTH CENTRAL SCHOOL DIST.  	8	St. Casimir's School               	3	2	9	4	2	3	3	0	0	0	0	0	0	23	0	26	5	0	5	0	22	Faribault                                    	09 
20-21	2137	31	KINGSLAND PUBLIC SCHOOL DISTRICT   	1	St. John's Lutheran                	3	3	9	0	2	4	2	4	3	0	0	0	0	20	7	30	0	3	3	0	23	Fillmore                                     	10 
20-21	2143	31	WATERVILLE-ELYSIAN-MORRISTOWN      	1	TRINITY LUTHERAN                   	2	2	2	0	1	0	1	0	0	0	0	0	0	6	0	8	0	0	0	0	66	Rice                                         	09 
20-21	2144	31	CHISAGO LAKES SCHOOL DISTRICT      	10	CHISAGO LAKES BAPTIST              	9	3	4	8	7	9	4	9	4	5	3	3	0	35	24	68	9	3	12	1	13	Chisago                                      	07E
20-21	2149	31	MINNEWASKA SCHOOL DISTRICT         	1	LAKE COUNTRY CHRISTIAN SCHOOL      	3	4	2	2	2	1	2	0	0	0	0	0	0	13	0	16	0	0	0	0	61	Pope                                         	04 
20-21	2170	31	STAPLES-MOTLEY SCHOOL DISTRICT     	1	SACRED HEART AREA SCHOOL           	12	10	9	11	10	8	9	0	0	0	0	0	0	57	0	69	13	6	19	0	77	Todd                                         	05 
20-21	2171	31	KITTSON CENTRAL SCHOOL DISTRICT    	45	OneSchool Team US - Pembina Campus	0	0	0	6	5	5	0	7	8	4	7	6	3	16	35	51	0	0	0	0	35	Kittson                                      	01 
20-21	2174	31	PINE RIVER-BACKUS SCHOOL DISTRICT  	2	Foothills Christian Academy        	1	2	3	2	3	3	1	1	0	4	2	3	2	14	12	27	0	0	0	0	11	Cass                                         	05 
20-21	2310	31	SIBLEY EAST SCHOOL DISTRICT        	11	ST. PAUL'S LUTHERAN                	7	2	3	9	6	2	6	3	1	0	0	0	0	28	4	39	5	0	5	0	72	Sibley                                       	09 
20-21	2310	31	SIBLEY EAST SCHOOL DISTRICT        	12	IMMANUEL LUTHERAN                  	5	5	6	5	6	9	6	6	4	0	0	0	0	37	10	52	4	6	10	0	72	Sibley                                       	09 
