DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
20-21	11	31	ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 	31	Montessori Renaissance Academy     	26	14	10	4	5	3	3	1	0	0	0	0	0	39	1	66	0	0	0	0	2	Anoka                                        	11 
20-21	11	31	ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 	713	THE WAY OF THE SHEPHERD            	11	11	4	7	8	7	4	6	3	0	0	0	0	41	9	61	4	3	7	0	2	Anoka                                        	11 
20-21	13	31	COLUMBIA HEIGHTS PUBLIC SCHOOL DIST	1	IMMACULATE CONCEPTION              	21	22	17	17	14	24	15	20	15	0	0	0	0	109	35	165	50	32	82	59	2	Anoka                                        	11 
20-21	13	31	COLUMBIA HEIGHTS PUBLIC SCHOOL DIST	2	LITTLE VOYAGEUR'S MONTESSORI       	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	Anoka                                        	11 
20-21	14	31	FRIDLEY PUBLIC SCHOOL DISTRICT     	2	TOTINO GRACE HIGH SCHOOL           	0	0	0	0	0	0	0	0	0	143	184	163	192	0	682	682	35	29	64	0	2	Anoka                                        	11 
20-21	14	31	FRIDLEY PUBLIC SCHOOL DISTRICT     	4	WOODCREST BAPTIST ACADEMY          	11	9	3	9	11	12	17	17	15	14	10	10	9	61	75	147	0	0	0	0	2	Anoka                                        	11 
20-21	14	31	FRIDLEY PUBLIC SCHOOL DISTRICT     	6	Al-Amal School	34	37	36	27	24	29	20	25	27	27	23	13	18	173	133	340	51	8	59	0	2	Anoka                                        	11 
20-21	15	31	St. Francis Area Schools           	1	ST. FRANCIS CHRISTIAN              	10	2	13	7	7	10	8	7	11	9	8	8	7	47	50	107	0	0	0	0	2	Anoka                                        	11 
20-21	15	31	St. Francis Area Schools           	2	TRINITY LUTHERAN                   	12	8	5	9	5	9	6	3	4	0	0	0	0	42	7	61	11	0	11	0	2	Anoka                                        	11 
20-21	15	31	St. Francis Area Schools           	3	CROWN CHRISTIAN SCHOOL             	14	18	16	13	3	5	6	5	0	0	0	0	0	61	5	80	0	0	0	0	30	Isanti                                       	11 
20-21	15	31	St. Francis Area Schools           	4	IMMACULATE HEART OF MARY ACADEMY   	8	12	9	9	9	11	9	7	6	2	4	2	2	59	23	90	0	0	0	0	2	Anoka                                        	11 
20-21	16	31	SPRING LAKE PARK PUBLIC SCHOOLS    	1	GRACE LUTHERAN                     	2	4	4	2	2	3	2	2	1	0	0	0	0	17	3	22	0	1	1	0	2	Anoka                                        	11 
20-21	16	31	SPRING LAKE PARK PUBLIC SCHOOLS    	4	Avail Academy (Blaine K-8 Campus)  	19	19	14	16	13	21	22	19	26	0	0	0	0	105	45	169	0	8	8	0	2	Anoka                                        	11 
20-21	16	31	SPRING LAKE PARK PUBLIC SCHOOLS    	6	Avail Academy (Fridley 9-12 Campus)	0	0	0	0	0	0	0	0	0	11	17	13	11	0	52	52	0	3	3	0	2	Anoka                                        	11 
20-21	22	31	DETROIT LAKES PUBLIC SCHOOL DIST.  	702	HOLY ROSARY                        	11	12	13	20	19	11	14	10	9	0	0	0	0	89	19	119	5	1	6	0	3	Becker                                       	04 
20-21	22	31	DETROIT LAKES PUBLIC SCHOOL DIST.  	703	ADVENTIST CHRISTIAN SCHOOL         	3	3	1	2	3	0	3	0	1	0	0	0	0	12	1	16	0	0	0	0	3	Becker                                       	04 
20-21	22	31	DETROIT LAKES PUBLIC SCHOOL DIST.  	705	FAITH CHRISTIAN SCHOOL             	4	7	1	7	2	2	3	2	0	0	0	0	0	22	2	28	0	0	0	0	3	Becker                                       	04 
20-21	31	31	BEMIDJI PUBLIC SCHOOL DISTRICT     	2	HEARTLAND CHRISTIAN ACADEMY        	11	9	7	9	8	7	6	8	3	3	3	4	3	46	24	81	0	0	0	0	4	Beltrami                                     	02 
20-21	31	31	BEMIDJI PUBLIC SCHOOL DISTRICT     	3	ST. PHILIPS                        	45	35	33	26	32	35	37	32	31	0	0	0	0	198	63	306	42	0	42	1	4	Beltrami                                     	02 
20-21	31	31	BEMIDJI PUBLIC SCHOOL DISTRICT     	703	ST. MARK'S                         	3	2	5	2	3	2	4	3	1	0	0	0	0	18	4	25	6	4	10	0	4	Beltrami                                     	02 
20-21	38	31	RED LAKE PUBLIC SCHOOL DISTRICT    	1	ST. MARY'S MISSION                 	13	13	15	12	14	15	16	9	8	0	0	0	0	85	17	115	127	0	127	0	4	Beltrami                                     	02 
20-21	47	31	SAUK RAPIDS-RICE PUBLIC SCHOOLS    	20	Petra Lutheran	5	2	2	1	6	1	1	3	0	0	0	0	0	13	3	21	0	0	0	0	5	Benton                                       	07W
20-21	47	31	SAUK RAPIDS-RICE PUBLIC SCHOOLS    	24	MONTESSORI SCHOOL OF SAUK RAPIDS   	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	5	Benton                                       	07W
20-21	51	31	FOLEY PUBLIC SCHOOL DISTRICT       	1	ST. JOHN                           	15	8	21	0	6	10	14	0	0	0	0	0	0	59	0	74	5	10	15	0	5	Benton                                       	07W
20-21	77	31	MANKATO PUBLIC SCHOOL DISTRICT     	2	GRACE CHRISTIAN                    	4	1	1	2	2	0	5	7	1	0	5	7	3	11	23	38	0	0	0	0	7	Blue Earth                                   	09 
20-21	77	31	MANKATO PUBLIC SCHOOL DISTRICT     	6	IMMANUEL LUTHERAN                  	13	11	11	9	12	11	10	18	10	7	12	5	12	64	64	141	25	13	38	0	7	Blue Earth                                   	09 
20-21	77	31	MANKATO PUBLIC SCHOOL DISTRICT     	7	MOUNT OLIVE LUTHERAN               	21	19	26	25	22	17	23	19	16	0	0	0	0	132	35	188	0	22	22	0	7	Blue Earth                                   	09 
20-21	77	31	MANKATO PUBLIC SCHOOL DISTRICT     	9	RISEN SAVIOR LUTHERAN SCHOOL       	8	10	9	7	10	11	8	9	7	0	0	0	0	55	16	79	7	4	11	0	7	Blue Earth                                   	09 
20-21	77	31	MANKATO PUBLIC SCHOOL DISTRICT     	13	Concordia Classical Academy        	2	4	3	6	5	3	5	1	4	0	0	0	0	26	5	33	6	0	6	0	52	Nicollet                                     	09 
20-21	77	31	MANKATO PUBLIC SCHOOL DISTRICT     	17	LOYOLA CATHOLIC SCHOOL             	32	41	42	31	31	43	24	41	32	27	30	24	24	212	178	422	31	14	45	0	7	Blue Earth                                   	09 
20-21	84	31	SLEEPY EYE PUBLIC SCHOOL DISTRICT  	2	St. Mary's High School	0	0	0	0	0	0	0	21	22	17	21	20	24	0	125	125	3	2	5	0	8	Brown                                        	09 
